hybas_id,next_down,selection_reason,sub_area_km2,up_area_km2,pfaf_id,order
4080693430,4080698330,upstream_next_down_chain,3005.3,4939.6,43496995,2
4080693480,4080695810,upstream_next_down_chain,438.7,438.7,43428998,4
4080693490,4080691810,upstream_next_down_chain,110.4,13098.3,43428910,3
4080693500,4080691810,upstream_next_down_chain,2339.6,2339.6,43428800,4
4080693590,4080698330,upstream_next_down_chain,228.7,228.7,43496994,3
4080693740,4080702250,upstream_next_down_chain,2707.9,2707.9,43496264,5
4080693890,4080702250,upstream_next_down_chain,408.2,1714.6,43496265,4
4080694160,4080695610,upstream_next_down_chain,753.2,95354.9,43465090,2
4080694190,4080695080,upstream_next_down_chain,1674.4,172079.4,43421010,2
4080694300,4080695610,upstream_next_down_chain,1174.8,1174.8,43465080,3
4080694350,4080695080,intersects_taihu_buffer,2102.1,1732696.8,43430100,1
4080694430,4080695140,upstream_next_down_chain,672.7,4230.7,43428993,3
4080694530,4080700750,upstream_next_down_chain,4074.2,23603.6,43498939,2
4080694540,4080702390,upstream_next_down_chain,27.6,60540.2,43494599,2
4080694590,4080695140,upstream_next_down_chain,441.4,441.4,43428992,4
4080694600,4080692420,upstream_next_down_chain,1049.8,10742.4,43428950,3
4080694710,4080700750,upstream_next_down_chain,1812.8,1813.1,43498938,3
4080694730,4080702390,upstream_next_down_chain,148.5,148.6,43494598,3
4080694740,4080688970,upstream_next_down_chain,242.5,242.5,43469604,4
4080694770,4080692420,upstream_next_down_chain,864.4,864.7,43428940,4
4080694900,4080688970,upstream_next_down_chain,584.9,2874.2,43469605,3
4080694990,4080695780,upstream_next_down_chain,1765.7,1766.0,43498889,4
4080695000,4080695780,upstream_next_down_chain,165.0,165.1,43498888,5
4080695080,4080696050,upstream_next_down_chain,38.1,1904814.3,43410009,1
4080695090,4080696050,upstream_next_down_chain,2523.3,2523.3,43410008,2
4080695140,4080695160,upstream_next_down_chain,134.2,4806.2,43428991,3
4080695160,4080694600,upstream_next_down_chain,1120.0,7914.1,43428970,3
4080695170,4080694600,upstream_next_down_chain,1779.0,1779.0,43428960,4
4080695240,4080699280,upstream_next_down_chain,344.8,717.2,43496987,3
4080695250,4080699280,upstream_next_down_chain,139.9,140.1,43496986,4
4080695390,4080695160,upstream_next_down_chain,1987.5,1987.8,43428980,4
4080695520,4080690080,upstream_next_down_chain,1755.8,1756.1,43428404,5
4080695610,4080700360,upstream_next_down_chain,162.3,96691.7,43465070,2
4080695620,4080690080,upstream_next_down_chain,113.4,4005.5,43428405,4
4080695780,4080701530,upstream_next_down_chain,82.0,2013.0,43498887,4
4080695800,4080700360,upstream_next_down_chain,655.8,6466.1,43465061,3
4080695810,4080690970,upstream_next_down_chain,1402.4,2154.1,43428997,3
4080695880,4080690970,upstream_next_down_chain,694.0,694.0,43428996,4
4080695990,4080701530,upstream_next_down_chain,266.6,266.6,43498886,5
4080696050,4080699990,upstream_next_down_chain,21.6,1907359.0,43410007,1
4080696170,4080694350,upstream_next_down_chain,1170.8,8138.4,43430201,2
4080696180,4080699990,upstream_next_down_chain,243.6,243.7,43410006,2
4080696300,4080694350,upstream_next_down_chain,1053.4,1722461.5,43430301,1
4080696860,4080691920,upstream_next_down_chain,535.6,535.6,43428204,5
4080696980,4080691920,upstream_next_down_chain,1355.1,5612.3,43428205,4
